"題目","答案","答對回饋","答錯回饋","提示"
"1 + 1 = ?","2","答對了！你真棒！","答錯了，再試一次吧！","1再多1是多少呢？"
"2 + 3 = ?","5","完全正確！","不對喔，想想看。","你可以用手指頭算算看。"
"4 + 2 = ?","6","恭喜你答對了！","差一點點，加油！","從4再往上數2個數字。"
"3 + 5 = ?","8","太厲害了！","這個答案不對喔，再想想。","試著從比較大的數字5開始數。"
"5 + 5 = ?","10","完美！你答對了！","不對耶，你確定嗎？","兩隻手的指頭加起來有幾根呢？"
"6 + 1 = ?","7","答對了！繼續努力！","答錯了，別灰心。","任何數字加一，就是下一個數字喔。"
"7 + 3 = ?","10","你真是個數學小天才！","再算一次看看。","7... 8, 9, ?"
"8 + 0 = ?","8","完全正確！","想想看，加0會改變數字嗎？","任何數字加上0，還是原本的數字。"
"2 + 6 = ?","8","答對了！","不對喔，從6開始往上數2個。","6... 7, ?"
"9 + 1 = ?","10","太棒了！","差一點就對了！","9的下一個數字是什麼？"
"4 + 4 = ?","8","恭喜答對！","這個答案好像不對喔。","4的兩倍是多少呢？"
"3 + 6 = ?","9","你答對了，真了不起！","答錯了，再試一次！","從6往上數3個數字看看。"
"5 + 2 = ?","7","正確答案！","不對喔，加油！","5... 6, ?"
"1 + 8 = ?","9","你太棒了！","再想想看，你可以的！","從比較大的數字8開始數比較快喔。"
"7 + 2 = ?","9","答對了！","答錯了，沒關係。","7再往上數2個數字。"
"6 + 4 = ?","10","完全正確！","不對喔，再算一下。","6 + 4剛好等於10喔！"
"3 + 3 = ?","6","恭喜你！","這個答案不對，再想想。","3的兩倍是多少？"
"2 + 5 = ?","7","答對了！","差一點點！","從5開始數：5... 6, ?"
"8 + 2 = ?","10","太厲害了，是10！","不對喔，8再加2是多少呢？","8... 9, ?"
"4 + 5 = ?","9","你答對了！","答錯了，別放棄！","從5往上數4個數字。"
